観点1,観点2,番号,定義
課題思考,課題把握,1,担当業務に関する情報を積極的に収集し、社内外の環境変化をいち早く捉えている
,,2,管轄する組織の状況を把握し、取り組むべき組織課題を明らかにしている
,課題体系化,3,問題を様々な観点から分析し、その原因を明らかにしている
,,4,目先の課題にとらわれず今後の展開も考慮した判断を行っている
,創造革新,5,管轄する組織のビジョンや方針を熱意を持ってわかりやすく打ち出している
,,6,組織内の常識にとらわれない創造的なアイデアや企画を考案している
課題遂行,シナリオ構築,7,持てる資源（人・物・金など）を有効活用した目標達成のシナリオを打ち出している
,,8,組織の目標達成に向けて、優先順位を明確にした実行計画を立案している
,完遂徹底,9,目標達成に向けて最後まであきらめないように、部下・メンバーの意識を高めている
,,10,困難に直面しても冷静に障害を排除しながら力強く業務を推進している
,プロセス管理,11,管轄する業務の進捗を適宜チェックしながら、計画通りに推進している
,,12,業務の結果を検証し、組織のあり方や今後の進め方についての見直し・改善を行っている
コミュニケーション,共感理解,13,相手の置かれた立場を踏まえ、気持ちや考えを受け止め理解している
,,14,反対意見にも耳を傾け、共感を示しながら最後まで聞いている
,論理的伝達,15,自分の考えを論理的にわかりやすく伝えている
,,16,相手の理解レベルを確認しながら、相手が納得いくように話している
,信頼創造,17,社内外の関係者の対立する意見や利害を調整し、円滑にまとめている
,,18,相手の立場を理解しながら、社内関係者の理解と協力を取りつけている
組織貢献,部下掌握,19,部下・メンバーの強み・弱みや考え方・気持ちなど各々の持ち味を把握している
,,20,部下・メンバーの業務や職場への適応状況を的確に把握している
,人材育成,21,部下・メンバーに対して期待を伝え、成長に向けた目標や課題を設定している
,,22,部下・メンバーの育成を考慮して仕事を与え、適切な助言や指導を行っている
,組織動機づけ,23,組織の目標や方針を熱意を持って伝え、部下・メンバーの意識をまとめている
,,24,部下・メンバーの良いところをほめたり、成果や成功を共に喜んでいる
ベースマインド,責任感,25,当事者意識を強く持って、担当業務を推進している
,,26,仕事の結果に対して言い訳することなく、進んで責任を取ろうとしている
,誠実さ,27,相手の属性・役職などに関わらず、裏表のない態度で誠実に接している
,,28,法令や規律を遵守し、自分自身を律した良識ある行動をとっている
,前向きさ,29,失敗を恐れることなく、常に高いレベルの目標にチャレンジしている
,,30,継続的に学習し、常に自らのレベルアップをはかっている
1. 評価対象者の強みを自由に記入してください。,,,
2. 評価対象者の課題・期待することを自由に記入してください。,,,
